#{"t_start": 1769443831.972301, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
345.0,3208,958.79178
330.0,3275,962.163741
390.0,3731,965.478017
260.0,3391,968.510464
245.0,2779,971.175091
210.0,2765,974.046462
115.0,2017,975.864798
210.0,2339,977.967714
105.0,1843,979.647223
195.0,1985,981.412501
90.0,1631,982.998639
155.0,2075,985.276792
465.0,3164,993.869002
505.0,2675,996.771652
165.0,2423,998.990741
460.0,2837,1001.576461
190.0,2071,1003.419089
210.0,2665,1005.770166
220.0,2969,1008.956141
305.0,3075,1011.734089
150.0,1391,1012.935137
145.0,2199,1014.907983
175.0,2143,1016.824228
185.0,1859,1018.61917
445.0,2387,1021.307602
80.0,1291,1022.472038
250.0,2497,1024.715633
380.0,2773,1027.194915
185.0,1803,1028.797891
120.0,1933,1030.550687
90.0,1493,1032.118576
275.0,2529,1034.729802
140.0,2105,1036.614885
410.0,2455,1038.839251
385.0,2831,1041.417584
135.0,1773,1043.029746
325.0,2973,1046.24174
440.0,3427,1049.35246
450.0,4365,1053.202399
470.0,2819,1055.842076
240.0,3053,1058.963144
250.0,2243,1060.97406
215.0,2369,1063.072889
155.0,2027,1064.902385
455.0,3841,1068.574031
335.0,2803,1071.344216
165.0,2089,1073.214837
200.0,2581,1075.524464
600.0,5077,1080.108869
45.0,1527,1081.887462
490.0,3919,1085.413198
320.0,3643,1096.335821
140.0,2057,1098.223795
135.0,1511,1099.577574
220.0,2489,1101.813104
180.0,2441,1104.008209
215.0,2481,1106.729004
270.0,2893,1109.340191
80.0,1255,1110.448797
80.0,1235,1111.529078
190.0,2025,1113.298199
560.0,4297,1117.385751
135.0,1905,1119.322169
380.0,3109,1122.126087
135.0,1923,1123.816692
530.0,2953,1126.421412
245.0,2491,1128.813814
330.0,3445,1132.36162
500.0,4575,1136.408178
200.0,1951,1138.166467
205.0,2523,1140.582647
375.0,2739,1143.544738
360.0,3463,1146.653766
555.0,5638,1151.581252
335.0,3693,1155.415106
335.0,3061,1158.129195
195.0,2371,1160.225002
125.0,2053,1162.04287
495.0,3837,1165.656486
235.0,3077,1168.798352
315.0,3167,1171.585042
110.0,2027,1173.354721
120.0,1727,1174.897707
325.0,3347,1178.204456
545.0,2765,1180.998863
145.0,1921,1182.68938
305.0,2921,1185.252234
375.0,4139,1188.893623
100.0,1519,1197.76542
185.0,1743,1199.381569
210.0,2051,1201.321905
330.0,3469,1204.893606
800.0,4503,1208.813686
280.0,2901,1211.371866
220.0,1863,1213.025964
145.0,1511,1214.750199
265.0,2179,1216.895871
340.0,3337,1219.880672
505.0,3927,1223.399656
245.0,3013,1226.310761
340.0,2967,1229.32031
435.0,3681,1232.640942
325.0,3035,1235.318789
410.0,2995,1238.094599
140.0,1905,1240.16625
380.0,3277,1243.044607
330.0,3005,1245.691544
250.0,2215,1247.664786
140.0,1863,1249.310278
345.0,2605,1252.179172
215.0,2727,1254.647714
155.0,2363,1256.770071
285.0,2601,1259.097199
290.0,2907,1261.732868
160.0,1953,1264.014559
235.0,2113,1265.952052
255.0,2415,1268.145238
255.0,2569,1270.460141
365.0,3297,1273.356326
285.0,2341,1275.946435
360.0,3353,1278.991989
205.0,3155,1281.851324
85.0,1129,1282.855278
185.0,1999,1284.605181
205.0,2317,1286.867972
300.0,2739,1289.731733
185.0,2005,1291.538724
45.0,1377,1297.925981
695.0,4245,1302.308706
405.0,3607,1305.457871
470.0,3931,1308.850297
180.0,2425,1311.218746
320.0,2461,1313.750295
165.0,2085,1315.62747
385.0,2587,1317.911151
370.0,3416,1320.98002
240.0,2035,1322.936873
205.0,2115,1325.279135
275.0,2833,1327.816753
260.0,3053,1330.518254
130.0,2073,1332.36407
245.0,2217,1334.341069
515.0,2815,1337.371554
265.0,2217,1339.327636
260.0,2577,1341.635689
355.0,3096,1344.410451
540.0,3641,1347.899508
565.0,3127,1350.980426
305.0,3178,1353.778426
305.0,3136,1356.535001
230.0,2449,1358.686135
135.0,1813,1360.770789
350.0,3027,1363.543957
410.0,3331,1366.47933
315.0,2809,1368.96419
255.0,2621,1371.461063
540.0,3209,1374.724335
385.0,2843,1377.211846
120.0,1923,1378.926539
285.0,3009,1381.653418
265.0,2685,1384.334347
100.0,1509,1385.921607
155.0,1531,1387.275554
70.0,1621,1388.696685
25.0,1259,1389.829581
515.0,2879,1392.368067
215.0,3191,1402.170033
485.0,3135,1404.931301
235.0,2425,1407.053212
125.0,1299,1408.506241
130.0,2399,1410.93147
505.0,3533,1414.068632
115.0,1843,1415.675566
270.0,2463,1417.835821
185.0,1883,1419.507363
355.0,3507,1423.242346
185.0,1687,1424.726284
205.0,2299,1426.754702
245.0,2289,1428.768028
240.0,2119,1430.665652
245.0,3273,1434.051855
600.0,4563,1438.071991
410.0,3949,1441.572164
170.0,1957,1443.328179
485.0,4429,1447.754779
235.0,2788,1450.184061
345.0,3299,1453.093706
145.0,2457,1455.255485
470.0,2625,1458.123352
290.0,2876,1460.742659
175.0,2067,1462.551527
85.0,1471,1463.878686
45.0,1051,1464.799875
430.0,2551,1467.077414
685.0,3759,1470.968814
210.0,1855,1472.607756
380.0,2199,1474.527009
200.0,2069,1476.332797
45.0,1097,1477.294871
295.0,3781,1480.775788
275.0,2375,1483.268804
370.0,3191,1486.019114
300.0,2943,1488.578016
190.0,2349,1490.64119
450.0,4037,1501.678586
350.0,3007,1504.3608
200.0,1987,1506.633692
270.0,2313,1508.705112
45.0,1103,1509.665155
230.0,2563,1511.895735
295.0,2801,1514.341875
200.0,2057,1516.162872
285.0,2849,1519.184932
145.0,1513,1520.508286
445.0,2787,1522.995642
